ts,open,high,low,close,kvwapd1,kvwaph4,kvwaph1,kvwapm30,kvwapm15,kvwapm5,kvwapm1,fair_price,breakout_price,breakout_coc,breakout_rev
2020-05-03,8975.18,9200,8727.24,8900,9054.050898,9050.532138,9023.360904,9002.109789,8988.783826,8981.857066,8980.295424,,,,
2020-05-04,8899.99,8954.94,8526,8873.98,8743.298183,8744.48972,8753.077435,8759.400762,8763.455899,8764.933613,8764.304865,,,,
2020-05-05,8873.99,9118.17,8766.12,9022.78,8916.82104,8916.53709,8915.127711,8916.00341,8918.590904,8921.455356,8922.655694,,,,
2020-05-06,9022.76,9405,8916.01,9148.27,9052.316674,9056.656316,9090.409105,9116.93805,9134.731122,9147.879931,9152.833051,,,,
2020-05-07,9148.29,10080,9022,9995,9301.231515,9307.712299,9358.240006,9401.925558,9436.941933,9465.898537,9479.338674,,9479.77,FALSE,FALSE
2020-05-08,9994.74,10045.03,9726,9807.49,9916.060761,9916.556381,9919.457653,9920.632292,9920.669168,9919.926181,9918.919028,,,,
2020-05-09,9809.63,9923.98,9528.23,9550.67,9796.624309,9794.235207,9775.078612,9759.632848,9749.000625,9740.173119,9736.336047,,,,
2020-05-10,9550.25,9580,7940,8719.53,8720.416402,8719.668687,8713.702164,8707.227209,8700.44834,8692.49771,8683.404233,,8526,TRUE,FALSE
2020-05-11,8723.23,9164,8151.12,8561.09,8721.59388,8721.475351,8719.811587,8715.043883,8707.972576,8701.14307,8698.186264,,,,
2020-05-12,8560.73,8981,8520.43,8808.71,8692.197225,8695.287851,8719.526518,8739.041184,8752.099516,8760.687501,8764.172007,,,,
2020-05-13,8808.71,9397,8790.04,9305.91,8935.761187,8939.301668,8966.6359,8989.574029,9008.039855,9024.610772,9032.172909,,,,
2020-05-14,9305.91,9950,9250.66,9786.8,9430.557834,9436.359728,9481.786731,9517.603462,9541.34396,9558.876253,9566.446951,,,,
2020-05-15,9787.62,9843.5,9100,9310.73,9601.779635,9599.665077,9582.179245,9564.600069,9547.706455,9532.366673,9525.264518,,,,
2020-05-16,9311.21,9585,9210.03,9374.99,9403.334509,9402.861327,9399.685139,9397.799095,9397.577857,9399.758948,9401.504385,,,,
2020-05-17,9374.99,9880,9317.16,9678.57,9528.612352,9532.480207,9562.362626,9586.101653,9602.387433,9614.223338,9619.458056,,,,
2020-05-18,9677.31,9958.67,9450,9731.1,9775.324171,9772.44528,9749.953528,9733.339855,9724.74277,9721.791105,9721.724231,,9950,TRUE,FALSE
2020-05-19,9731.11,9900,9462,9773.64,9642.357776,9643.738206,9654.575005,9662.398685,9666.459665,9669.172983,9670.35987,,,,
2020-05-20,9772.66,9838,9281.42,9508.11,9734.922761,9732.542695,9714.143053,9698.427774,9686.314507,9677.04397,9672.910534,,,,
2020-05-21,9508,9573,8812.2,9060,9435.897843,9429.55479,9380.525962,9341.111947,9314.014591,9295.653132,9288.449159,,9210.03,TRUE,FALSE
2020-05-22,9060,9259.38,8920,9166.4,9077.404235,9079.425002,9095.247164,9107.617568,9115.602768,9121.339025,9123.491249,,,,
2020-05-23,9166.43,9300,9076.9,9176.41,9218.090632,9216.961659,9208.223058,9202.230489,9199.83952,9199.614305,9199.703328,,,,
2020-05-24,9176.32,9294.44,8674,8711.37,9184.167358,9181.367075,9160.278684,9143.919236,9132.959713,9125.215287,9120.392008,,,,
2020-05-25,8711.37,8977,8623.38,8895.65,8788.70848,8789.414512,8795.223533,8801.271727,8807.040007,8811.833272,8814.103053,,,,
2020-05-26,8895.66,9011.82,8693.18,8837.05,8881.073541,8879.796243,8870.251938,8863.441109,8859.700003,8857.610769,8856.5227,,,,
2020-05-27,8837.88,9230,8811,9197.32,8916.822633,8921.692158,8959.191457,8987.594653,9004.992361,9016.111816,9021.034785,,,,
2020-05-28,9197.32,9621.65,9110.97,9569.59,9220.211393,9224.228189,9254.651188,9277.993248,9293.60395,9305.683046,9311.747142,,,,
